ID Asesor,Cédula,Id Cliente,Cliente,Clave,Nombres,Apellidos,País,ID Regional,Regional,Departamento,ID Ciudad,Ciudad,Estado,ID Rol Asesor,Rol Asesor,ID Rol Jefe,Rol Jefe,ID Jefe,Nombre Jefe
179155,835115035048,3938,ALIMENTOS SA,5048,IMPULSO,OCCIDENTE 1,COLOMBIA,39380003,OCCIDENTE,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,1,5600,IMPULSO,1705.0,LIDER,179761.0,LIDER OCCIDENTE
179156,528147635454,3938,ALIMENTOS SA,5454,IMPULSO,ANTIOQUIA 1,COLOMBIA,39380004,ANTIOQUIA,ANTIOQUIA,5001,MEDELLIN,1,5600,IMPULSO,1705.0,LIDER,179760.0,LIDER ANTIOQUIA
179157,960466409482,3938,ALIMENTOS SA,9482,IMPULSO,ANTIOQUIA 2,COLOMBIA,39380004,ANTIOQUIA,ANTIOQUIA,5001,MEDELLIN,1,5600,IMPULSO,1705.0,LIDER,179760.0,LIDER ANTIOQUIA
179158,447880970672,3938,ALIMENTOS SA,672,IMPULSO,ANTIOQUIA 3,COLOMBIA,39380004,ANTIOQUIA,ANTIOQUIA,5001,MEDELLIN,1,5600,IMPULSO,1705.0,LIDER,179760.0,LIDER ANTIOQUIA
179159,770712604655,3938,ALIMENTOS SA,4655,IMPULSO,OCCIDENTE 2,COLOMBIA,39380003,OCCIDENTE,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,1,5600,IMPULSO,1705.0,LIDER,179761.0,LIDER OCCIDENTE
179160,384003679519,3938,ALIMENTOS SA,9519,MERCADERISTA,ANTIOQUIA 1,COLOMBIA,39380004,ANTIOQUIA,ANTIOQUIA,5001,MEDELLIN,1,1787,MERCADERISTA,1705.0,LIDER,179760.0,LIDER ANTIOQUIA
179161,108862941822,3938,ALIMENTOS SA,1822,MERCADERISTA,CENTRO NORTE 1,COLOMBIA,39380005,CENTRO NORTE,BOGOTA D.C,11001,BOGOTÁ,1,1787,MERCADERISTA,1705.0,LIDER,179763.0,LIDER CENTRO NORTE
179162,451811667103,3938,ALIMENTOS SA,7103,MERCADERISTA,CENTRO NORTE 2,COLOMBIA,39380005,CENTRO NORTE,BOGOTA D.C,11001,BOGOTÁ,1,1787,MERCADERISTA,1705.0,LIDER,179759.0,LIDER SANTANDER
179163,191294138378,3938,ALIMENTOS SA,8378,MERCADERISTA,CENTRO SUR 1,COLOMBIA,39380001,CENTRO SUR,BOGOTA D.C,11001,BOGOTÁ,1,1787,MERCADERISTA,1705.0,LIDER,179762.0,LIDER CENTRO SUR
179164,707734147401,3938,ALIMENTOS SA,7401,IMPULSO,CENTRO NORTE 1,COLOMBIA,39380005,CENTRO NORTE,BOGOTA D.C,11001,BOGOTÁ,1,5600,IMPULSO,1705.0,LIDER,179763.0,LIDER CENTRO NORTE
